,algorithm,win,time,score
0,0,0,2.4987699846666667,0
1,1,0,2.5800571386666666,1
2,2,0,2.6613442926666666,1
3,3,0,2.7426314466666666,1
4,4,0,2.823918600666666,1
5,5,0,2.905205754666666,1
